Rk,Player,Nation,Pos,Club,League,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
1909,Tanguy Ndombele,FRA,MF,Tottenham,Premier League,25,1996,9,6,484,5.4,0.19,1.67,0.56,33.3,0.11,0.33,17.3,0,0,0,42.2,48.9,86.4,680,153.1,22.2,23.9,93,15,17.6,85.3,3.7,4.63,80,0.19,0.74,4.26,0.74,0,3.7,48.9,47.4,1.48,0.37,0,6.3,0.37,0.37,0,0,0,0,44.6,2.59,1.67,3.7,44.1,0.56,0,0.19,42.2,0,0.19,2.22,1.3,2.41,1.85,0,0.19,0.19,0.19,0,0.19,0.19,0,0,0,0,0,2.41,1.85,0.74,1.48,0.19,0.19,1.11,16.7,0.93,16.3,4.81,29.5,4.44,8.33,3.52,0.37,0.19,0,0.19,0.56,2.96,0.56,0,65.2,0.93,8.52,40.2,21.1,2.41,63.7,2.41,4.44,54.2,2.41,0.19,48.9,238.7,147,9.63,2.78,1.3,2.78,3.52,58,51.5,88.8,5.56,0.19,0,0,0.93,2.22,0,0.37,1.85,0,0,0,6.85,0.37,0.56,40
2234,Sergio Reguilón,ESP,DF,Tottenham,Premier League,25,1996,25,22,1916,21.3,0.09,0.99,0.42,42.9,0.1,0.22,14.9,0,0,0,34.9,46.3,75.5,619.4,195.3,16.7,19.7,84.8,14.4,18.4,78.5,3.38,6.2,54.5,0.14,1.41,1.5,1.36,0.94,2.44,46.3,38.5,7.75,0.85,0.05,4.6,1.36,2.77,0.47,0.28,0.05,0,27.8,8.64,9.81,34.7,2.82,1.64,6.43,0.05,34.9,0.19,0.56,1.6,2.02,2.44,1.92,0.14,0.14,0.09,0.14,0,0.23,0.23,0,0,0,0,0,2.21,1.31,1.03,0.89,0.28,1.08,1.83,59,0.75,14,4.18,29.9,5.49,6.15,2.35,1.5,0.33,0,1.17,1.97,4.18,2.02,0,58.8,3.52,16.5,23.4,21.7,2.63,51.2,0.85,2.25,37.5,0.89,0.23,35.6,163.4,91.4,4.6,1.55,0.52,1.22,0.94,40.7,35.3,86.8,3.71,0.19,0,0,1.17,1.31,0.05,2.77,1.31,0,0,0,6.76,1.46,1.13,56.4
2283,Joe Rodon,WAL,DF,Tottenham,Premier League,24,1997,3,0,89,1,0,0,0,0,0,0,0,0,0,0,28,31,90.3,598,152,8,8,100,14,16,87.5,6,7,85.7,0,0,2,0,0,0,31,31,0,0,0,4,0,0,0,0,0,0,24,4,3,0,27,1,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,42.9,5,2,0,3,2,0,1,2,2,8,0,44,10,19,26,1,0,44,0,0,0,0,0,23,67,13,0,0,0,0,0,25,23,92,0,0,0,0,0,1,0,0,0,0,0,0,8,4,2,66.7
2303,Cristian Romero,ARG,DF,Tottenham,Premier League,24,1998,22,21,1844,20.5,0.05,0.29,0.1,33.3,0.17,0.5,13.3,0,0,0,54.5,62.3,87.4,1073.3,346.1,19.4,21.2,91.7,27.2,28.8,94.4,7.32,10.8,67.6,0,0.29,2.83,0.34,0,2.54,62.3,60.3,2,1.56,0.05,7.8,1.41,0.1,0,0,0,0,49.2,5.32,7.8,2.73,55.3,2.2,0.44,0.39,54.5,0.05,0.68,1.46,1.02,0.83,0.68,0.05,0,0,0.05,0.05,0.1,0.05,0,0,0,0,0.05,3.66,2.2,2.1,1.46,0.1,1.22,2.1,58.1,0.88,15.5,5.51,35.6,9.51,4.78,1.17,2.44,1.12,0,1.32,2.78,6.44,3.8,0.05,74.8,12.6,40.8,34.9,4.29,0.88,73.1,0.44,0.68,64.3,0.49,0,50,267,151.1,3.85,1.02,0.1,0.54,0.39,51.2,49.7,97.1,0.34,0.39,0,0,1.76,0.83,0.1,0.1,2.2,0,0.05,0,9.71,2.44,1.46,62.5
2381,Davinson Sánchez,COL,DF,Tottenham,Premier League,25,1996,23,17,1631,18.1,0.11,0.72,0.17,23.1,0.15,0.67,8.1,0,0,0,53.7,60.1,89.3,1075.7,299.6,17.5,18.7,93.5,28.6,30.2,94.7,6.96,9.89,70.4,0,0.22,4.31,0.44,0.06,2.87,60.1,58.5,1.66,1.27,0.06,5.8,1.44,0.11,0,0,0,0,49.4,3.65,7.02,6.69,49,2.27,0.39,0.28,53.7,0.06,0.77,0.83,0.33,0.88,0.83,0,0,0.06,0,0,0.06,0.06,0,0,0,0,0,2.49,1.22,1.33,0.94,0.22,0.88,1.49,59.3,0.61,10.3,3.65,35.5,4.92,4.42,0.94,1.93,1.05,0,0.88,1.88,4.36,4.2,0,71.3,7.62,31.4,37.8,6.46,1.22,69.8,0.17,0.28,60,0.22,0,46.1,222.7,124.3,5.69,1.22,0,0.17,0.55,51,49.5,97.1,0.28,0.22,0,0,0.88,0.66,0.06,0.11,1.22,0,0,0,8.45,3.09,2.1,59.6
2420,Dane Scarlett,ENG,MF,Tottenham,Premier League,18,2004,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,100,12,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,100,1,0,2,2,1,0,0,0,0,0,3,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2462,Ryan Sessegnon,ENG,DF,Tottenham,Premier League,22,2000,15,13,1047,11.6,0,0.52,0.09,16.7,0,0,13.6,0,0,0,27.2,36.6,74.3,465.3,127,13.5,16,84.4,10.6,13.6,77.8,2.84,4.91,57.9,0.17,1.29,1.03,1.29,0.52,3.02,36.6,30.6,5.95,0.43,0,4.83,0.78,2.24,0.09,0,0,0,22.1,8.62,5.86,24.1,5.26,1.03,5.43,0,27.2,0.17,1.21,1.03,1.72,1.81,1.64,0.09,0.09,0,0,0,0.34,0.34,0,0,0,0,0,2.33,1.21,1.12,0.78,0.43,1.03,2.24,46.2,1.21,19.8,4.91,24.8,8.62,6.38,4.83,2.59,0.26,0,2.33,1.64,3.97,1.9,0,49.1,3.28,14.8,16.5,20.5,3.79,43.2,0.43,1.12,38.5,0.43,0,28.5,160.2,89.6,4.57,0.6,0.6,1.81,1.38,34,28.3,83.2,4.31,0.17,0,0,2.33,0.78,0.43,2.24,1.21,0,0,0,5.26,1.12,1.29,46.4
2512,Oliver Skipp,ENG,MF,Tottenham,Premier League,21,2000,18,14,1350,15,0,0.27,0.07,25,0,0,24.1,0,0,0,49.1,54.8,89.5,880.3,202.4,20.9,22.4,93.2,22.9,24.7,92.5,4.87,6.33,76.8,0,0.47,5.13,0.6,0.07,4.6,54.8,53.6,1.2,1.13,0.07,6.47,0.93,0.33,0,0,0,0,45.9,4.07,4.8,2.93,49.5,1.47,0.07,0.27,49.1,0,0.53,1.6,1.07,1.47,1.4,0,0,0,0.07,0,0.2,0.2,0,0,0,0,0,2.2,1.2,0.93,1.07,0.2,0.8,1.87,42.9,1.07,18.3,4.73,25.8,7.27,8.73,2.33,1.67,0.6,0,1.07,1.27,3.47,0.93,0,63.5,2,12.8,43.9,10.3,0.67,62.4,0.13,0.2,66.7,0.13,0,43.3,208.1,114.1,5.67,1.93,0.33,0.53,0.87,48.7,46,94.5,0.87,0.4,0,0,1.33,1.53,0.07,0.33,1.2,0,0,0,8.87,0.8,0.93,46.2
2609,Japhet Tanganga,ENG,DF,Tottenham,Premier League,23,1999,11,10,735,8.2,0,0.85,0.24,28.6,0,0,13.1,0,0,0,39.9,48.3,82.6,718.2,213.4,18,20.4,88.6,17.6,20.7,84.7,3.66,6.22,58.8,0,0.24,1.1,0.61,0.12,2.2,48.3,41.6,6.71,0.61,0,5,0.98,1.22,0,0,0,0,31.6,7.93,8.78,4.27,34.9,1.95,6.1,0.24,39.9,0,0.85,1.59,0.61,0.37,0.24,0,0,0.12,0,0,0,0,0,0,0,0,0,2.56,1.46,1.22,0.73,0.61,0.98,1.59,61.5,0.61,13.4,4.39,32.7,6.34,5.49,1.59,1.95,0.85,0,1.1,2.07,4.63,3.66,0,61.2,5.73,22.1,29.5,14,1.34,54.6,0.37,0.73,50,0.37,0.12,34.5,171.3,116.2,4.27,1.83,0.37,0.49,1.1,39.9,37.8,94.8,1.46,0.49,0.12,0.12,2.44,1.22,0.12,1.22,1.46,0,0,0,5.61,2.32,1.22,65.5
2850,Harry Winks,ENG,MF,Tottenham,Premier League,26,1996,19,9,912,10.1,0,0.3,0.1,33.3,0,0,24.2,0,0,0,56.7,65.5,86.6,1110.4,319.4,21.6,23.3,92.8,25.2,28.2,89.5,8.42,11.8,71.4,0.1,1.09,6.04,1.49,0,6.73,65.5,62.4,3.17,1.98,0.59,8.32,1.88,0.89,0.89,0.3,0.4,0,53.2,4.26,8.12,6.44,57.5,1.09,0,0,56.7,0.2,0.59,2.28,0.59,2.28,1.68,0.3,0.1,0,0.2,0,0.4,0.4,0,0,0,0,0,1.68,0.69,0.5,0.79,0.4,0.79,1.58,50,0.79,14.4,3.17,22.1,5.05,7.03,2.28,1.78,0.4,0,1.39,1.88,3.56,0.79,0,74.9,2.28,17.5,46.1,15.6,0.4,72.1,0.5,1.09,45.5,0.59,0,51.8,255.9,108.4,4.65,1.39,0.1,0.4,1.19,59.1,57.5,97.3,1.19,0.2,0,0,1.19,1.58,0,0.89,0.69,0,0,0,7.43,0.5,0.69,41.7
