Rk,Player,Nation,Pos,Club,League,Age,Recov%,Int,Int_rk,Int%,BlkSh,Blksh_rk,Blksh%,BlkPass,BlkPass_rk,BlkPass%,Clr,clr_rk,Clr%,Tkl,Tkl_rk,Tkl%,Press,Press_rk,Press%,Blocks,Blocks_rk,Blocks%
2856,Marius Wolf,GER,DFFW,Dortmund,Bundesliga,27,38.5748544,1.77,2036,69.71565605,0.07,1119,38.30078794,1.36,2078,71.15450497,0.41,850,29.61283572,1.5,1404,48.06440562,18.2,1957,67.00924974,1.43,1543,52.82631038
2857,Luca Wollschläger,GER,FW,Hertha BSC,Bundesliga,19,0,0,1,0,0.5,2313,79.20520726,0.5,704,24.08359027,0,1,0,5,2878,98.56115108,15,1441,49.331963,1.5,1636,56.01233299
2858,Jeong Woo-yeong,KOR,FWMF,Freiburg,Bundesliga,22,26.20760534,0.96,1190,40.73312778,0,1,0,0.51,739,25.28263104,0.76,1199,41.78583886,0.76,707,24.18636519,21,2354,80.60979788,0.51,579,19.80130182
2859,Chris Wood,NZL,FW,Newcastle Utd,Premier League,30,10.07194245,0.14,562,19.21891059,0.2,1623,55.56697499,0.34,600,20.52072628,0.54,972,33.86815487,0.27,488,16.68379582,16.9,1751,59.95203837,0.54,594,20.31517643
2860,Chris Wood,NZL,FW,Burnley,Premier League,30,6.337786913,0.26,614,21.00034258,0.46,2257,77.28674203,0.59,832,28.46865365,0.39,834,29.05476107,0.72,684,23.39842412,13,1141,39.05447071,1.05,1059,36.24528948
2861,Freddie Woodman,ENG,GK,Newcastle Utd,Premier League,25,11.68208291,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.25,233,7.947927372,0,1,0
2862,Christopher Wooh,FRA,DF,Lens,Ligue 1,20,50.87358684,1.71,1964,67.2490579,1.28,2854,97.7389517,0.94,1366,46.76258993,3.85,2550,88.90826648,3.25,2704,92.60020555,12.8,1115,38.16375471,2.22,2524,86.43371017
2863,Joscha Wosz,GER,DF,RB Leipzig,Bundesliga,19,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,691,23.63823227,0,1,0
2864,Xeka,POR,MF,Lille,Ligue 1,27,79.20520726,1.94,2200,75.3340185,0.28,1861,63.72045221,1.22,1828,62.58992806,2.22,2141,74.64248343,2.94,2588,88.62624186,22.4,2476,84.78931141,1.5,1636,56.01233299
2865,Granit Xhaka,SUI,MFDF,Arsenal,Premier League,29,76.36176773,1.2,1417,48.50976362,0.31,1938,66.3583419,1.08,1602,54.84755053,1.08,1515,52.80781304,1.51,1419,48.57828023,11.6,936,32.03151764,1.39,1484,50.80507023
2866,Sekou Yansané,GUI,FW,Paris S-G,Ligue 1,19,22.67899966,0,1,0,0,1,0,0.5,704,24.08359027,5,2735,95.36100453,0,1,0,25,2645,90.5789654,5,2884,98.76670092
2867,Andriy Yarmolenko,UKR,FW,West Ham,Premier League,32,21.41144227,0.29,629,21.5142172,0.57,2391,81.87735526,0.86,1221,41.79513532,0.29,729,25.39239623,0.86,762,26.07057211,17.1,1782,61.01404591,1.43,1543,52.82631038
2868,Yusuf Yazýcý,TUR,MFFW,Lille,Ligue 1,25,37.51284687,0.53,833,28.50291196,0,1,0,1.05,1557,53.30592669,0.7,1128,39.30938263,1.93,1855,63.51490236,17.7,1878,64.30284344,1.05,1059,36.24528948
2869,Kelvin Yeboah,ITA,FW,Genoa,Serie A,22,30.66118534,0.11,556,19.01336074,0.21,1652,56.56046591,2.45,2828,96.8482357,0.53,959,33.41471922,1.17,1069,36.58787256,24.1,2602,89.10585817,2.66,2749,94.14182939
2870,Gerard Yepes,ESP,MFDF,Sampdoria,Serie A,19,99.45186708,0.5,793,27.13257965,0,1,0,0.5,704,24.08359027,0,1,0,0,1,0,40,2864,98.08153477,5,2884,98.76670092
2871,Burak Yýlmaz,TUR,FW,Lille,Ligue 1,36,5.549845838,0.24,606,20.72627612,0.24,1740,59.57519699,0.28,573,19.59575197,0.41,850,29.61283572,0.16,468,15.99862967,10,691,23.63823227,0.53,589,20.14388489
