Rk,Player,SoT,Norm_SoT_Rk,SoT%,PasTotCmp%,PasLonCmp%,PasProg,PassProgRk,PassProg%,GCA,GCA_rk,GCA%,DriSucc%,Carries,Carries_rk,Carries%,Recov,Recov_rk,Recov%,Nation,Pos,Club,League,Age,Recov
859,Diego Farias,0,1,0,82.9,50,1.43,803,27.47516273,0,1,0,100,41.4,2176,74.51181912,10,2329,79.75334018,BRA,MFFW,Cagliari,Serie A,32,10
860,Wuilker Faríñez,0,1,0,78.9,50,0,1,0,0,1,0,0,11.4,122,4.145255224,5.28,784,26.82425488,VEN,GK,Lens,Ligue 1,24,5.28
861,Ömer Faruk Beyaz,1.25,2778,95.13532032,74.4,100,3.75,2178,74.58033573,0,1,0,100,57.5,2759,94.48441247,13.8,2837,97.15656047,TUR,FWDF,Stuttgart,Bundesliga,18,13.8
862,Noah Fatar,0,1,0,57.1,0,10,2880,98.62966769,0,1,0,0,30,1241,42.48030147,10,2329,79.75334018,FRA,DFMF,Angers,Ligue 1,20,10
863,Ansu Fati,2.16,2909,99.62315862,82.9,66.7,1.89,1055,36.10825625,0.54,2706,92.66872217,40,48.1,2522,86.36519356,3.24,247,8.427543679,ESP,FW,Barcelona,La Liga,19,3.24
864,Julien Faussurier,0.56,2207,75.57382665,74.8,60.7,5.19,2670,91.43542309,0.19,1849,63.30935252,33.3,34.6,1655,56.66324084,7.04,1335,45.70058239,FRA,MFDF,Brest,Ligue 1,35,7.04
865,Andrea Favilli,0,1,0,83.3,0,0,1,0,0,1,0,0,22.5,640,21.89105858,2.5,167,5.686879068,ITA,FW,Genoa,Serie A,25,2.5
866,Federico Fazio,0.19,1465,50.15416238,82.9,64,2.58,1527,52.27817746,0.06,1249,42.75436793,84.6,25.2,839,28.7084618,9.5,2211,75.71085988,ARG,DF,Salernitana,Serie A,35,9.5
867,Aleix Febas,0,1,0,89.3,100,3.85,2230,76.36176773,0,1,0,75,43.8,2323,79.54779034,10.8,2587,88.59198356,ESP,MF,Mallorca,La Liga,26,10.8
868,Adrian Fein,0,1,0,66.7,0,0,1,0,0,1,0,0,22.5,640,21.89105858,2.5,167,5.686879068,GER,MF,Greuther Fürth,Bundesliga,23,2.5
869,Nabil Fekir,1,2646,90.61322371,80.7,52.8,4.48,2473,84.68653649,0.61,2768,94.79273724,55.3,48.3,2526,86.50222679,5.58,874,29.90750257,FRA,MF,Betis,La Liga,28,5.58
870,Felipe,0.24,1630,55.80678314,83.1,62.8,1.92,1077,36.86193902,0.06,1249,42.75436793,100,32.4,1465,50.15416238,12.3,2772,94.92977047,BRA,DF,Atlético Madrid,La Liga,33,12.3
871,Luiz Felipe,0.04,942,32.23706749,92,83.4,2.67,1577,53.99109284,0.04,1178,40.32202809,75,48.3,2526,86.50222679,7.4,1468,50.25693731,ITA,DF,Lazio,Serie A,25,7.4
872,Ohis Felix Uduokhai,0,1,0,80,58.2,2.76,1635,55.97807468,0,1,0,66.7,35.7,1767,60.50017129,7.93,1678,57.45118191,GER,DF,Augsburg,Bundesliga,24,7.93
873,João Félix,1.07,2690,92.12058924,74.3,52.9,3,1766,60.46591298,0.71,2824,96.71120247,52,35.1,1713,58.65022268,4,384,13.12093183,POR,FWMF,Atlético Madrid,La Liga,22,4
874,Kiko Femenía,0.04,942,32.23706749,71.6,32.6,3.32,1951,66.8036999,0.25,2095,71.7368962,47.1,29.1,1156,39.56834532,8.7,1940,66.42685851,ESP,DF,Watford,Premier League,31,8.7
875,Evan Ferguson,0,1,0,85.7,100,0,1,0,0,1,0,0,13.3,165,5.618362453,0,1,0,IRL,MF,Brighton,Premier League,17,0
876,Nathan Ferguson,0,1,0,60,0,0,1,0,0,1,0,0,0,1,0,20,2886,98.83521754,ENG,DF,Crystal Palace,Premier League,21,20
877,Bruno Fernandes,0.84,2523,86.39945187,75.3,54.3,5.66,2744,93.97053786,0.29,2241,76.73860911,45.1,47.4,2500,85.61151079,7.46,1494,51.14765331,POR,MF,Manchester Utd,Premier League,27,7.46
878,Edimilson Fernandes,0.65,2312,79.17094896,75,54.5,4.52,2489,85.23466941,0,1,0,60,35.8,1778,60.87701268,10,2329,79.75334018,SUI,DFFW,Arminia,Bundesliga,26,10
879,Aitor Fernández,0,1,0,70.1,48.6,0.08,439,15.00513875,0,1,0,0,14.1,198,6.748886605,3.92,373,12.74409044,ESP,GK,Levante,La Liga,31,3.92
880,Álex Fernández,0.26,1693,57.96505653,79.8,60.9,4.17,2377,81.39773895,0.09,1391,47.61904762,45.5,35.9,1786,61.15107914,8.64,1911,65.43336759,ESP,MF,Cádiz,La Liga,29,8.64
881,Álvaro Fernández,0,1,0,64.4,38.9,0.08,439,15.00513875,0,1,0,0,22.3,626,21.41144227,5.67,906,31.00376841,ESP,GK,Brentford,Premier League,24,5.67
882,Federico Fernández,0.17,1391,47.61904762,85.5,62.3,1.38,781,26.72147996,0.17,1771,60.63720452,0,29.3,1179,40.3562864,5.86,962,32.92223364,ARG,DF,Newcastle Utd,Premier League,33,5.86
883,Fernandinho,0.28,1748,59.84926345,90.6,75.2,5.51,2722,93.21685509,0.37,2435,83.38472079,88.9,65.1,2842,97.327852,10.2,2453,84.00137033,BRA,MFDF,Manchester City,Premier League,37,10.2
884,Fernando,0.05,970,33.1963001,89.8,80.5,2.48,1430,48.95512162,0.15,1680,57.51969853,66.7,46,2434,83.35046249,10.3,2470,84.58376156,BRA,MFDF,Sevilla,La Liga,34,10.3
885,Alex Ferrari,0.05,970,33.1963001,84.6,70.8,2.02,1131,38.71188763,0,1,0,33.3,32.9,1511,51.73004454,7.43,1482,50.73655361,ITA,DF,Sampdoria,Serie A,27,7.43
886,Salvador Ferrer,0.06,1004,34.36108256,78,64.7,3.13,1843,63.10380267,0.3,2277,77.97190819,62.5,29.6,1203,41.17848578,8.07,1721,58.92428914,ESP,DFMF,Spezia,Serie A,24,8.07
887,Jordan Ferri,0.06,1004,34.36108256,83.9,70.1,6.53,2822,96.64268585,0.09,1391,47.61904762,67.3,64,2829,96.882494,11.8,2718,93.07982186,FRA,MF,Montpellier,Ligue 1,30,11.8
888,Riccardo Fiamozzi,0,1,0,75.3,56,5.51,2722,93.21685509,0.14,1631,55.84104145,25,34.8,1670,57.17711545,10.4,2490,85.26892771,ITA,DF,Empoli,Serie A,29,10.4
889,Fidel,0.28,1748,59.84926345,74.2,48.7,4.46,2464,84.37821172,0.4,2499,85.57725248,41.8,39,2004,68.6193902,6.14,1044,35.73141487,ESP,MFFW,Elche,La Liga,32,6.14
890,Karol Fila,0,1,0,77.8,50,5.65,2742,93.90202124,0.16,1713,58.65022268,16.7,43.4,2297,78.65707434,5.81,949,32.47687564,POL,DF,Strasbourg,Ligue 1,23,5.81
891,Alfre? Finnbogason,1.25,2778,95.13532032,60.6,66.7,1.88,1039,35.56012333,0.63,2779,95.16957862,40,19.7,448,15.31346351,6.25,1068,36.55361425,ISL,FWMF,Augsburg,Bundesliga,33,6.25
892,Luca Fiordilino,0.14,1299,44.46728332,85.1,72.5,2.19,1235,42.27475163,0,1,0,42.9,34,1609,55.08735868,8.77,1963,67.21479959,ITA,MF,Venezia,Serie A,25,8.77
893,Vincenzo Fiorillo,0,1,0,74.2,66.7,0,1,0,0,1,0,0,14,189,6.440561836,2,140,4.761904762,ITA,GK,Salernitana,Serie A,32,2
894,Roberto Firmino,1,2646,90.61322371,78.4,72.4,3.18,1867,63.92600206,0.55,2716,93.01130524,53.1,41.1,2164,74.10071942,6.27,1079,36.93045564,BRA,FW,Liverpool,Premier League,30,6.27
895,Junior Firpo,0.05,970,33.1963001,83.2,56.4,3.89,2251,77.08119219,0.21,1939,66.39260021,47.6,35.6,1754,60.05481329,7.53,1530,52.38095238,ESP,DF,Leeds United,Premier League,25,7.53
896,Mark Flekken,0,1,0,68.3,51.7,0.09,443,15.14217198,0.03,1120,38.33504625,100,23.7,711,24.32339842,5.28,784,26.82425488,NED,GK,Freiburg,Bundesliga,28,5.28
897,Ashley Fletcher,0.33,1844,63.13806098,33.3,100,3.33,1953,66.87221651,0,1,0,0,23.3,689,23.56971566,13.3,2818,96.50565262,ENG,FW,Watford,Premier League,26,13.3
898,Alexis Flips,0.77,2435,83.38472079,61.8,33.8,2.65,1564,53.54573484,0.43,2550,87.32442617,53.8,34.9,1677,57.4169236,7.52,1527,52.27817746,FRA,FWMF,Reims,Ligue 1,22,7.52
899,Alessandro Florenzi,0.47,2070,70.88043851,80.7,55.3,4.92,2593,88.7975334,0.08,1348,46.14594039,63.6,44.1,2345,80.30147311,8.91,2018,69.09900651,ITA,DFFW,Milan,Serie A,31,8.91
900,Phil Foden,0.93,2590,88.69475848,80.7,52.3,3.22,1900,65.05652621,0.55,2716,93.01130524,70.9,42.8,2260,77.38951696,4.87,628,21.47995889,ENG,FW,Manchester City,Premier League,22,4.87
901,Mamadou Fofana,0,1,0,75,50,0,1,0,0,1,0,0,7.5,79,2.672147996,2.5,167,5.686879068,MLI,DF,Metz,Ligue 1,24,2.5
902,Seko Fofana,0.86,2531,86.67351833,87.7,74.3,3.06,1801,61.66495375,0.24,2059,70.50359712,62.1,47.4,2500,85.61151079,6.7,1219,41.72661871,CIV,MF,Lens,Ligue 1,27,6.7
903,Wesley Fofana,0.14,1299,44.46728332,89.7,80.8,2.14,1198,41.00719424,0,1,0,100,59,2779,95.16957862,10.9,2609,89.34566632,FRA,DF,Leicester City,Premier League,21,10.9
904,Youssouf Fofana,0.29,1770,60.60294621,76.8,56.1,5.51,2722,93.21685509,0.37,2435,83.38472079,61.8,39.8,2053,70.29804728,9.3,2157,73.86091127,FRA,MF,Monaco,Ligue 1,23,9.3
905,Thomas Foket,0.12,1221,41.79513532,78.6,53.7,2.98,1759,60.22610483,0.04,1178,40.32202809,64,32.8,1504,51.49023638,6.69,1215,41.58958547,BEL,DFMF,Reims,Ligue 1,27,6.69
906,Thomas Fontaine,0,1,0,84.9,100,2.11,1174,40.18499486,0,1,0,0,20,459,15.6903049,6.32,1096,37.51284687,MAD,DF,Lorient,Ligue 1,31,6.32
907,José Fontán,0,1,0,84.3,72.5,1.61,899,30.76396026,0,1,0,0,50.3,2614,89.51695786,7.42,1478,50.59952038,ESP,DF,Celta Vigo,La Liga,22,7.42
908,José Fonte,0.16,1358,46.48852347,86.8,78.2,2.66,1569,53.71702638,0.11,1478,50.59952038,75,38.6,1968,67.38609113,10.5,2517,86.19390202,POR,DF,Lille,Ligue 1,38,10.5
909,Fernando Forestieri,0.5,2119,72.55909558,69.6,0,6.67,2827,96.81397739,1.67,2909,99.62315862,100,35,1688,57.79376499,8.33,1813,62.07605344,ITA,FWMF,Udinese,Serie A,32,8.33
910,Pablo Fornals,0.35,1881,64.40561836,75,53.8,5.21,2676,91.64097294,0.29,2241,76.73860911,46.3,37.1,1865,63.85748544,7.56,1542,52.79205207,ESP,FWMF,West Ham,Premier League,26,7.56
911,Emil Forsberg,0.58,2235,76.53305927,82.4,55.7,4.58,2506,85.81706064,0.32,2336,79.99314834,52.4,36.3,1810,61.97327852,5.37,813,27.8177458,SWE,MFFW,RB Leipzig,Bundesliga,30,5.37
912,Adam Forshaw,0.24,1630,55.80678314,83.7,71.4,3.59,2099,71.87392943,0.06,1249,42.75436793,56.3,36.5,1821,62.3501199,11.2,2653,90.85303186,ENG,MF,Leeds United,Premier League,30,11.2
913,Marcus Forss,0,1,0,58.5,66.7,2.17,1219,41.72661871,0.43,2550,87.32442617,50,11.7,128,4.35080507,4.78,606,20.72627612,FIN,FWMF,Brentford,Premier League,22,4.78
914,Fraser Forster,0,1,0,58.2,39.1,0,1,0,0,1,0,0,15.1,239,8.153477218,4.16,437,14.93662213,ENG,GK,Southampton,Premier League,34,4.16
915,Philipp Förster,0.65,2312,79.17094896,86.9,88.9,3.18,1867,63.92600206,0.19,1849,63.30935252,50,37.3,1879,64.33710175,7.38,1460,49.98287085,GER,FWMF,Stuttgart,Bundesliga,27,7.38
916,Francesco Forte,0.43,2013,68.92771497,71.4,0,1.06,645,22.06235012,0.21,1939,66.39260021,66.7,13.4,171,5.823912299,3.83,358,12.23021583,ITA,FW,Venezia,Serie A,29,3.83
917,Steven Fortes,0,1,0,86.2,80,2,1109,37.95820486,0,1,0,50,24,732,25.04282288,4,384,13.12093183,CPV,DF,Lens,Ligue 1,30,4
918,Ben Foster,0,1,0,48,37.7,0,1,0,0.04,1178,40.32202809,0,14.7,216,7.365536143,5.04,720,24.63172319,ENG,GK,Watford,Premier League,39,5.04
919,Tariqe Fosu,0,1,0,75,50,5,2607,89.27714971,0,1,0,0,45,2379,81.46625557,10,2329,79.75334018,GHA,DF,Brentford,Premier League,26,10
920,Timothy Fosu-Mensah,0,1,0,78.3,60,0.63,498,17.0263789,0,1,0,50,35,1688,57.79376499,8.13,1743,59.67797191,NED,DF,Leverkusen,Bundesliga,24,8.13
921,Dimitri Foulquier,0,1,0,68.4,30,2.5,1447,49.53751285,0,1,0,100,18,352,12.02466598,7,1308,44.77560808,FRA,DF,Granada,La Liga,29,7
922,Dimitri Foulquier,0.19,1465,50.15416238,70,47.1,2.81,1660,56.83453237,0.15,1680,57.51969853,64,25,815,27.88626242,8.5,1862,63.75471052,FRA,DF,Valencia,La Liga,29,8.5
923,Juan Foyth,0.09,1103,37.75265502,84.7,69.3,3.79,2208,75.60808496,0.05,1223,41.86365194,66.7,40.1,2098,71.83967112,7.85,1648,56.42343268,ARG,DF,Villarreal,La Liga,24,7.85
924,Gianluca Frabotta,0,1,0,44.4,0,10,2880,98.62966769,0,1,0,0,30,1241,42.48030147,20,2886,98.83521754,ITA,DFFW,Hellas Verona,Serie A,22,20
925,Raphael Framberger,0,1,0,66.1,45,4.57,2500,85.61151079,0,1,0,72.7,27.8,1042,35.66289825,8.51,1869,63.99451867,GER,DF,Augsburg,Bundesliga,26,8.51
926,Przemys?aw Frankowski,0.48,2081,71.25727989,81.8,63.2,3.75,2178,74.58033573,0.29,2241,76.73860911,51.2,38.1,1937,66.32408359,6.65,1176,40.25351148,POL,DF,Lens,Ligue 1,27,6.65
927,Enric Franquesa,0,1,0,76.6,52.2,2.03,1135,38.84892086,0.14,1631,55.84104145,44.4,28.6,1105,37.82117163,7.39,1465,50.15416238,ESP,DF,Levante,La Liga,25,7.39
928,Fransérgio,0.14,1299,44.46728332,71.7,65.9,2.43,1401,47.9616307,0.14,1631,55.84104145,33.3,27.4,1004,34.36108256,9.36,2177,74.54607742,BRA,MF,Bordeaux,Ligue 1,31,9.36
929,Ryan Fraser,0.43,2013,68.92771497,69.7,43.5,1.6,888,30.38711888,0.37,2435,83.38472079,28.6,23.9,729,24.94004796,5.03,713,24.39191504,SCO,FWMF,Newcastle Utd,Premier League,28,5.03
930,Davide Frattesi,0.6,2262,77.45803357,83.7,75.9,3.47,2047,70.09249743,0.28,2207,75.57382665,59.6,35.3,1730,59.23261391,6.18,1054,36.07399794,ITA,MF,Sassuolo,Serie A,22,6.18
931,Fred,0.4,1964,67.2490579,85.1,79.5,4.8,2563,87.76978417,0.36,2425,83.04213772,51.5,45.9,2430,83.21342926,11.2,2653,90.85303186,BRA,MF,Manchester Utd,Premier League,29,11.2
932,Ryan Fredericks,0,1,0,77.6,30,1.18,692,23.67249058,0,1,0,0,24.4,770,26.34463857,7.94,1684,57.65673176,ENG,DF,West Ham,Premier League,29,7.94
933,Morten Frendrup,0.26,1693,57.96505653,70.3,57.6,4.03,2319,79.41075711,0.39,2483,85.02911956,80,26.6,937,32.06577595,15.3,2869,98.25282631,DEN,DFMF,Genoa,Serie A,21,15.3
934,Remo Freuler,0.23,1599,54.74477561,85.8,70.1,6.69,2835,97.08804385,0.19,1849,63.30935252,59.1,52.4,2664,91.22987324,10.8,2587,88.59198356,SUI,MF,Atalanta,Serie A,30,10.8
935,Marvin Friedrich,0.31,1798,61.56217883,75.6,55.7,2.62,1549,53.03186023,0,1,0,66.7,35,1688,57.79376499,9.92,2315,79.27372388,GER,DF,Union Berlin,Bundesliga,26,9.92
936,Marvin Friedrich,0.15,1332,45.59780747,89,68.8,2.39,1372,46.96813977,0,1,0,0,54.8,2717,93.04556355,8.81,1981,67.83144913,GER,DF,M'Gladbach,Bundesliga,26,8.81
937,Jeremie Frimpong,0.18,1430,48.95512162,81.6,53.5,2.72,1603,54.88180884,0.44,2570,88.00959233,57.1,43.9,2330,79.78759849,7.32,1436,49.16067146,NED,DF,Leverkusen,Bundesliga,21,7.32
938,Christian Früchtl,0,1,0,100,100,0,1,0,0,1,0,0,10,86,2.911956149,10,2329,79.75334018,GER,GK,Bayern Munich,Bundesliga,22,10
939,Jorge de Frutos,1.02,2667,91.33264817,67.8,49.4,2.65,1564,53.54573484,0.56,2727,93.38814663,40.8,27.1,976,33.40184995,6.99,1304,44.63857485,ESP,MFFW,Levante,La Liga,25,6.99
940,Leo Fuhr Hjelde,0,1,0,75.7,42.9,2.94,1735,59.40390545,0,1,0,0,35.9,1786,61.15107914,8.24,1776,60.80849606,NOR,DF,Leeds United,Premier League,18,8.24
941,Chris Führich,0.63,2288,78.34874957,79.4,53.7,3.05,1795,61.45940391,0.21,1939,66.39260021,65.5,35.1,1713,58.65022268,6.68,1213,41.52106886,GER,MFFW,Stuttgart,Bundesliga,24,6.68
942,Angelo Fulgini,0.52,2160,73.96368619,81.7,56.1,3.6,2102,71.97670435,0.25,2095,71.7368962,46.9,43.3,2287,78.31449126,5.51,853,29.18807811,FRA,MFFW,Angers,Ligue 1,25,5.51
943,Marius Funk,0,1,0,62.4,43.8,0,1,0,0,1,0,0,25.3,848,29.01678657,4.63,558,19.08187736,GER,GK,Greuther Fürth,Bundesliga,26,4.63
944,Stephan Fürstner,0,1,0,20,0,10,2880,98.62966769,0,1,0,0,20,459,15.6903049,20,2886,98.83521754,GER,MF,Mainz 05,Bundesliga,34,20
945,Matteo Gabbia,0,1,0,88,76.4,3.17,1862,63.75471052,0.33,2352,80.54128126,0,53.5,2689,92.08633094,9,2057,70.43508051,ITA,DF,Milan,Serie A,22,9
946,Manolo Gabbiadini,1.65,2882,98.69818431,66.2,43.4,2.6,1536,52.58650223,0.31,2309,79.06817403,50,24.3,761,26.03631381,4.57,539,18.43096951,ITA,FWMF,Sampdoria,Serie A,30,4.57
947,Mijat Ga?inovi?,0,1,0,84.8,40,4.17,2377,81.39773895,0,1,0,100,30,1241,42.48030147,5.83,956,32.7166838,SRB,FWDF,Hoffenheim,Bundesliga,27,5.83
948,Gianluca Gaetano,0,1,0,81.8,0,5,2607,89.27714971,0,1,0,0,45,2379,81.46625557,15,2860,97.94450154,ITA,MF,Napoli,Serie A,22,15
949,Luca Gagliano,0,1,0,80,0,0,1,0,0,1,0,0,50,2581,88.38643371,10,2329,79.75334018,ITA,MFDF,Cagliari,Serie A,21,10
950,Roberto Gagliardini,0.56,2207,75.57382665,85.1,60,3.47,2047,70.09249743,0.28,2207,75.57382665,44.4,40,2065,70.70914697,8.61,1905,65.22781775,ITA,MF,Inter,Serie A,28,8.61
951,Riccardo Gagliolo,0.08,1062,36.34806441,78.2,64.8,3.02,1778,60.87701268,0.08,1348,46.14594039,57.1,24.7,793,27.13257965,9.29,2155,73.79239466,SWE,DF,Salernitana,Serie A,32,9.29
952,Javi Galán,0.14,1299,44.46728332,78.4,52.1,3.42,2021,69.20178143,0.11,1478,50.59952038,66,47.1,2482,84.99486125,7.46,1494,51.14765331,ESP,DF,Celta Vigo,La Liga,27,7.46
953,Iñigo Ruiz de Galarreta,0.2,1504,51.49023638,80.6,66.7,5.29,2691,92.15484755,0.07,1304,44.63857485,64.3,39.9,2060,70.53785543,11.8,2718,93.07982186,ESP,MF,Mallorca,La Liga,28,11.8
954,Nicolas Galazzi,0,1,0,62.5,0,5,2607,89.27714971,0,1,0,0,35,1688,57.79376499,5,663,22.67899966,ITA,DF,Venezia,Serie A,21,5
955,Pablo Galdames Millán,0.26,1693,57.96505653,73,53.3,3.51,2066,70.74340528,0,1,0,38.9,30.5,1306,44.70709147,9.74,2278,78.0061665,CHI,MF,Genoa,Serie A,25,9.74
956,Thiago Galhardo,1.17,2746,94.03905447,67.9,50,2.11,1174,40.18499486,0.31,2309,79.06817403,47.8,17,314,10.72285029,4.06,411,14.04590613,BRA,FWMF,Celta Vigo,La Liga,32,4.06
957,Conor Gallagher,0.7,2367,81.05515588,76.3,52.9,1.96,1098,37.58136348,0.41,2518,86.22816033,63.4,33.1,1529,52.34669407,8.77,1963,67.21479959,ENG,MF,Crystal Palace,Premier League,22,8.77
958,Gauthier Gallon,0,1,0,70.2,49.1,0,1,0,0,1,0,100,17.4,336,11.47653306,5.19,759,25.96779719,FRA,GK,Troyes,Ligue 1,29,5.19
959,Cristian Gamboa,0.05,970,33.1963001,72.2,54,4.03,2319,79.41075711,0.21,1939,66.39260021,76.5,32.7,1495,51.18191161,8.48,1858,63.61767729,CRC,DF,Bochum,Bundesliga,32,8.48
960,Kévin Gameiro,0.94,2602,89.10585817,79.9,48.8,1.7,946,32.37410072,0.3,2277,77.97190819,51.4,28.2,1078,36.89619733,4.45,498,17.0263789,FRA,FW,Strasbourg,Ligue 1,35,4.45
961,Idrissa Gana Gueye,0.38,1935,66.25556697,93.4,88.2,4.78,2557,87.56423433,0.22,1991,68.1740322,72,64.9,2836,97.12230216,8.35,1823,62.41863652,SEN,MF,Paris S-G,Ligue 1,32,8.35
962,Ignatius Ganago,0.88,2546,87.18739294,72.7,44.4,0.88,565,19.32168551,0.26,2139,73.24426173,52.4,19.6,442,15.10791367,3.51,300,10.24323398,CMR,FW,Lens,Ligue 1,23,3.51
963,Silvère Ganvoula M'Boussy,1.18,2750,94.1760877,56.7,60,1.76,982,33.60739979,0,1,0,66.7,21.8,589,20.14388489,4.71,583,19.93833505,CGO,FW,Bochum,Bundesliga,25,4.71
964,Álvaro García,0.72,2389,81.80883864,62.3,36.1,2.31,1319,45.15244947,0.21,1939,66.39260021,44.4,28.1,1071,36.65638917,6.58,1156,39.56834532,ESP,FW,Rayo Vallecano,La Liga,29,6.58
965,Dani García,0.08,1062,36.34806441,77.2,61.2,3.6,2102,71.97670435,0.04,1178,40.32202809,62.5,27.4,1004,34.36108256,11.4,2680,91.77800617,ESP,MF,Athletic Club,La Liga,32,11.4
966,David García,0.12,1221,41.79513532,82.8,70.2,2.9,1713,58.65022268,0,1,0,100,25.9,885,30.28434395,11,2622,89.79102432,ESP,DF,Osasuna,La Liga,28,11
967,Eric García,0.18,1430,48.95512162,93,87.2,5.37,2703,92.56594724,0.04,1178,40.32202809,100,58.8,2775,95.03254539,7,1308,44.77560808,ESP,DF,Barcelona,La Liga,21,7
968,Francisco Garcia,0.24,1630,55.80678314,78.7,50.9,3.3,1943,66.52963344,0.03,1120,38.33504625,39.4,34.5,1647,56.38917437,8.33,1813,62.07605344,ESP,DF,Rayo Vallecano,La Liga,22,8.33
969,Joan García,0,1,0,75.8,50,0.83,543,18.56800274,0,1,0,0,15.8,261,8.907159986,7.5,1507,51.59301131,ESP,GK,Espanyol,La Liga,21,7.5
970,Manu García,0.08,1062,36.34806441,76.1,60.2,4.75,2551,87.35868448,0.25,2095,71.7368962,57.5,43.4,2297,78.65707434,9.75,2283,78.17745803,ESP,MF,Alavés,La Liga,24,9.75
971,Raúl García,0.6,2262,77.45803357,62.8,44,3.2,1886,64.5769099,0.25,2095,71.7368962,57.1,21.3,562,19.21891059,5.25,773,26.4474135,ESP,FW,Athletic Club,La Liga,35,5.25
972,Rubén García,0.34,1861,63.72045221,71.5,49.8,3.75,2178,74.58033573,0.38,2454,84.03562864,58.5,35.2,1719,58.85577252,6.63,1170,40.04796163,ESP,FWMF,Osasuna,La Liga,28,6.63
973,Saúl García,0,1,0,33.3,0,0,1,0,0,1,0,0,1,23,0.7536827681,1,115,3.905447071,ESP,FW,Alavés,La Liga,27,1
974,Unai García,0,1,0,74.9,60.3,2.05,1146,39.22576225,0,1,0,50,21.8,589,20.14388489,7.69,1585,54.2651593,ESP,DF,Osasuna,La Liga,30,7.69
975,Alejandro Garnacho,0,1,0,100,0,0,1,0,0,1,0,0,30,1241,42.48030147,0,1,0,ESP,FW,Manchester Utd,Premier League,17,0
976,Mario Gaspar,0.14,1299,44.46728332,81,65.5,2.46,1420,48.61253854,0.14,1631,55.84104145,60,32.8,1504,51.49023638,6.67,1184,40.52757794,ESP,DF,Villarreal,La Liga,31,6.67
977,Djeidi Gassama,0,1,0,100,0,0,1,0,0,1,0,0,1,23,0.7536827681,0,1,0,FRA,FW,Paris S-G,Ligue 1,18,0
978,Johan Gastien,0.23,1599,54.74477561,82.6,70.8,6.98,2846,97.46488523,0.3,2277,77.97190819,50,63.7,2826,96.77971908,10.6,2536,86.84480987,FRA,MF,Clermont Foot,Ligue 1,34,10.6
979,Dwight Gayle,0,1,0,84.6,0,2.5,1447,49.53751285,0,1,0,0,37.5,1897,64.95375128,2.5,167,5.686879068,ENG,FW,Newcastle Utd,Premier League,31,2.5
980,Jean-Philippe Gbamin,0,1,0,76.2,50,0,1,0,0,1,0,50,27.1,976,33.40184995,10,2329,79.75334018,CIV,MF,Everton,Premier League,26,10
981,David de Gea,0,1,0,70.9,47,0,1,0,0,1,0,0,10.1,107,3.63138061,2.97,212,7.228502912,ESP,GK,Manchester Utd,Premier League,31,2.97
982,Linus Gechter,0.13,1255,42.95991778,79.7,51.5,2.25,1277,43.71360055,0.13,1583,54.19664269,0,35,1688,57.79376499,8.5,1862,63.75471052,GER,DF,Hertha BSC,Bundesliga,18,8.5
983,Dennis Geiger,0.13,1255,42.95991778,82.8,65.1,4.31,2424,83.00787941,0.2,1901,65.09078452,57.1,35.9,1786,61.15107914,9.61,2244,76.84138404,GER,MF,Hoffenheim,Bundesliga,23,9.61
984,Joe Gelhardt,1.08,2697,92.3603974,67.3,30,2.05,1146,39.22576225,0.72,2835,97.08804385,48.3,24.5,780,26.68722165,4.94,654,22.37067489,ENG,FWMF,Leeds United,Premier League,20,4.94
985,Luca Gemello,0,1,0,44.1,32.1,0,1,0,0,1,0,0,22,601,20.55498458,4,384,13.12093183,ITA,GK,Torino,Serie A,21,4
986,Yannick Gerhardt,0.17,1391,47.61904762,75.5,65.8,4.51,2484,85.06337787,0.4,2499,85.57725248,68.2,35.2,1719,58.85577252,10.3,2470,84.58376156,GER,MFDF,Wolfsburg,Bundesliga,28,10.3
987,Valère Germain,0.73,2402,82.25419664,76.3,59.3,1.28,737,25.21411442,0.23,2026,69.37307297,37.5,15,228,7.776635834,3.47,295,10.07194245,FRA,FW,Montpellier,Ligue 1,32,3.47
988,Gerson,0.67,2337,80.02740665,90.1,75,2.51,1482,50.73655361,0.42,2534,86.77629325,61.9,42.2,2224,76.15621788,5.87,967,33.09352518,BRA,MFFW,Marseille,Ligue 1,25,5.87
989,Willem Geubbels,0.5,2119,72.55909558,70.4,28.6,0.5,472,16.1356629,0.33,2352,80.54128126,29.4,22.8,657,22.47344981,3.17,236,8.050702295,FRA,FWMF,Nantes,Ligue 1,20,3.17
990,Hamadi Al Ghaddioui,0.73,2402,82.25419664,67,66.7,0.55,483,16.51250428,0.55,2716,93.01130524,0,18,352,12.02466598,3.82,354,12.0931826,MAR,FW,Stuttgart,Bundesliga,31,3.82
991,Ismaël Gharbi,0,1,0,100,0,1,613,20.96608428,0,1,0,0,4,62,2.089756766,0,1,0,TUN,FW,Paris S-G,Ligue 1,18,0
992,Anwar El Ghazi,0,1,0,88.9,100,0,1,0,0,1,0,0,80,2892,99.04076739,0,1,0,NED,FW,Everton,Premier League,27,0
993,Anwar El Ghazi,0.47,2070,70.88043851,71.3,62.5,1.63,904,30.9352518,0.47,2604,89.17437479,25,27.7,1034,35.38883179,6.28,1083,37.06748887,NED,FWMF,Aston Villa,Premier League,27,6.28
